area,single,"married, no kids","not married, no kids","married, with kids","not married, with kids",single parent,other,total,stadsdeel,m2,wd,dist,woz-value per m2
M30b Transvaalbuurt Oost,1393.0,159.0,416.0,343.0,127.0,272.0,62.0,2772.0,5,67.14415505754089,822.3312089778058,0.02077382059762986,3302.0
M31a Noordwestkwadrant Indische Buurt Noord,1366.0,148.0,377.0,192.0,85.0,158.0,36.0,2362.0,5,59.388050694025345,873.4817243743945,0.011286819821807363,3314.0
M31b Noordwestkwadrant Indische Buurt Zuid,1487.0,135.0,420.0,223.0,111.0,153.0,44.0,2573.0,5,61.37182448036952,873.4817243743945,0.011286819821807363,3031.0
M31c Zuidwestkwadrant Indische Buurt,1038.0,168.0,195.0,346.0,69.0,209.0,25.0,2050.0,5,70.49730769230769,873.4817243743945,0.011286819821807363,2600.0
M32a Noordoostkwadrant Indische Buurt,1815.0,251.0,315.0,395.0,104.0,272.0,45.0,3197.0,5,65.66867469879519,873.4817243743945,0.011286819821807363,2822.0
M32b Zuidoostkwadrant Indische Buurt,959.0,143.0,219.0,299.0,66.0,200.0,25.0,1911.0,5,67.81992882562278,873.4817243743945,0.011286819821807363,2810.0
M32c Zeeburgerdijk Oost,83.0,23.0,31.0,36.0,23.0,17.0,3.0,216.0,5,101.96913375373381,739.0147761535196,0.010266556813748468,3013.0
M32d Flevopark,4.0,1.0,2.0,2.0,50.81190476190476,1.0,15.697732997481108,76.50963775938587,5,83.57613884316903,731.8746557673259,0.014874260464721402,3125.301047120419
M33a Oostelijke Handelskade,309.0,91.0,143.0,91.0,56.0,58.0,9.0,757.0,5,104.30472488038278,776.0384941929444,0.0022936231948601587,3344.0
M33b Rietlanden,462.0,119.0,178.0,150.0,94.0,99.0,8.0,1110.0,5,99.62324588163514,809.5280882977218,0.003929211441560622,3278.0
M33c Java-eiland,696.0,197.0,198.0,225.0,146.0,125.0,17.0,1604.0,5,96.00619718309859,694.3657247662483,0.0039536326599766275,3550.0
M33d KNSM-eiland,723.0,203.0,149.0,124.0,69.0,118.0,13.0,1399.0,5,87.113849033063,597.6588640593876,0.0055113939334829765,3206.0
M33e Sporenburg,247.0,119.0,114.0,270.0,137.0,129.0,5.0,1021.0,5,104.2761087267525,721.9522047218383,0.004949587171924476,3495.0
M33f Borneo,390.0,101.0,151.0,230.0,171.0,163.0,15.0,1221.0,5,106.58989253557944,771.3424312351013,0.006160001556207158,3443.0
M33g Entrepot-Noordwest,412.0,69.0,85.0,91.0,39.0,112.0,8.0,816.0,5,82.72710163111668,894.0409759336461,0.0074308684090405915,3188.0
M33h Architectenbuurt,559.0,106.0,135.0,92.0,48.0,107.0,7.0,1054.0,5,76.27633851468049,859.4000174157242,0.00816205186457183,2895.0
M33i Bedrijvengebied Veelaan,14.0,5.0,3.0,1.0,50.81190476190476,2.0,15.697732997481108,91.50963775938588,5,83.57613884316903,881.2372293759728,0.00865365883600434,3125.301047120419
M33j Bedrijvengebied Cruquiusweg,7.0,1.0,2.0,1.0,50.81190476190476,95.27446300715991,15.697732997481108,172.78410076654578,5,83.57613884316903,765.3135265753067,0.007385554185194006,3125.301047120419
M33k Bedrijvengebied Zeeburgerkade,48.0,8.0,10.0,6.0,4.0,2.0,3.0,81.0,5,83.57613884316903,818.43057656932,0.009694020814522683,3125.301047120419
M34a Zeeburgereiland Noordwest,1.0,2.0,1.0,120.07476635514018,1.0,95.27446300715991,2.0,222.3492293623001,5,83.57613884316903,479.12371150852823,0.009701899991881762,3125.301047120419
M34c Zeeburgereiland Zuidoost,294.0,2.0,35.0,2.0,1.0,8.0,3.0,345.0,5,35.71738083774675,479.12371150852823,0.009701899991881762,2077.0
M34d Zeeburgereiland Zuidwest,139.0,4.0,37.0,2.0,3.0,4.0,18.0,207.0,5,88.53149370125975,479.12371150852823,0.009701899991881762,1667.0
M34e Nieuwe Diep/Diemerpark,10.0,5.0,3.0,3.0,5.0,3.0,15.697732997481108,44.69773299748111,5,83.57613884316903,312.06134144615817,0.023126645092831973,3125.301047120419
M34f RI Oost terrein,146.0,12.0,31.0,18.0,18.0,5.0,15.697732997481108,245.6977329974811,5,67.95471698113208,513.4415974573043,0.0070196014076659785,2915.0
